time, CO2(ppm), TVOC, temp
20:24:25.943, CO2: 400, 0, 412
20:24:26.974, CO2: 400, 0, 412
20:24:27.954, CO2: 420, 3, 409
20:24:28.986, CO2: 443, 6, 410
20:24:29.969, CO2: 400, 0, 410
20:24:30.999, CO2: 400, 0, 410
20:24:31.979, CO2: 400, 0, 411
20:24:33.009, CO2: 400, 0, 409
20:24:33.993, CO2: 400, 0, 410
20:24:35.022, CO2: 400, 0, 410
20:24:36.006, CO2: 400, 0, 410
20:24:36.990, CO2: 400, 0, 410
20:24:38.016, CO2: 400, 0, 410
20:24:39.000, CO2: 400, 0, 408
20:24:40.030, CO2: 400, 0, 410
20:24:41.013, CO2: 400, 0, 412
20:24:42.039, CO2: 400, 0, 410
20:24:43.020, CO2: 524, 18, 409
20:24:44.049, CO2: 423, 3, 409
20:24:45.030, CO2: 400, 0, 411
20:24:46.058, CO2: 448, 7, 408
20:24:47.043, CO2: 529, 19, 407
20:24:48.026, CO2: 491, 13, 409
20:24:49.055, CO2: 403, 0, 409
20:24:50.040, CO2: 400, 0, 412
20:24:51.070, CO2: 400, 0, 409
20:24:52.054, CO2: 409, 1, 411
20:24:53.085, CO2: 400, 0, 410
20:24:54.068, CO2: 400, 0, 409
20:24:55.058, CO2: 1047, 98, 409
20:24:56.084, CO2: 1537, 197, 409
20:24:57.068, CO2: 1095, 105, 411
20:24:58.099, CO2: 531, 19, 411
20:24:59.079, CO2: 463, 9, 409
20:25:00.108, CO2: 400, 0, 408
20:25:01.098, CO2: 1865, 536, 408
20:25:02.080, CO2: 2448, 1668, 412
20:25:03.114, CO2: 1738, 377, 409, fire
20:25:04.100, CO2: 679, 42, 409
20:25:05.132, CO2: 1676, 314, 413
20:25:06.114, CO2: 574, 26, 410
20:25:07.097, CO2: 426, 3, 411
20:25:08.127, CO2: 1506, 176, 411
20:25:09.108, CO2: 1550, 207, 411
20:25:10.138, CO2: 1281, 134, 411
20:25:11.124, CO2: 1956, 672, 411
20:25:12.155, CO2: 1712, 351, 416
20:25:13.138, CO2: 870, 71, 418
20:25:14.167, CO2: 3530, 3982, 416
20:25:15.155, CO2: 657, 39, 418
20:25:16.137, CO2: 2014, 771, 419
20:25:17.167, CO2: 1937, 643, 425
20:25:18.150, CO2: 4796, 6689, 426
20:25:18.670, CO2: 4995, 7110, 427
20:25:19.651, CO2: 1962, 683, 430
20:25:20.679, CO2: 1691, 330, 432
20:25:21.661, CO2: 1659, 297, 439
20:25:22.694, CO2: 1962, 683, 443
20:25:23.680, CO2: 1749, 390, 443
20:25:24.710, CO2: 1113, 108, 447
20:25:25.695, CO2: 1032, 96, 449
20:25:26.683, CO2: 1458, 161, 450
20:25:27.712, CO2: 1623, 265, 451
20:25:28.694, CO2: 2676, 2159, 451
20:25:29.723, CO2: 2925, 2679, 453
20:25:30.704, CO2: 2305, 1371, 454
20:25:31.735, CO2: 2324, 1413, 462
20:25:32.717, CO2: 2416, 1603, 466
20:25:33.703, CO2: 2652, 2105, 466
20:25:34.732, CO2: 2397, 1562, 466
20:25:35.719, CO2: 2554, 1897, 467
20:25:36.751, CO2: 2222, 1188, 466
20:25:37.741, CO2: 2274, 1300, 466
20:25:38.726, CO2: 1817, 471, 468
20:25:39.758, CO2: 1829, 487, 468
20:25:40.743, CO2: 2033, 806, 466
20:25:41.775, CO2: 2747, 2325, 468
20:25:42.761, CO2: 2249, 1239, 470
20:25:43.742, CO2: 2359, 1477, 472
20:25:44.771, CO2: 4005, 5015, 470
20:25:45.753, CO2: 4296, 5610, 471
20:25:46.781, CO2: 3297, 3487, 470
20:25:47.764, CO2: 3040, 2934, 469
20:25:48.788, CO2: 2786, 2404, 470
20:25:49.769, CO2: 2628, 2061, 468
20:25:50.799, CO2: 2954, 2751, 470
20:25:51.783, CO2: 4096, 5190, 469
20:25:52.812, CO2: 7662, 12854, 468
20:25:53.793, CO2: 5423, 8055, 468
20:25:54.824, CO2: 4387, 5812, 468
20:25:55.804, CO2: 6896, 11160, 467
20:25:56.832, CO2: 3564, 4062, 468
20:25:57.814, CO2: 2837, 2517, 467
20:25:58.797, CO2: 1931, 633, 468
20:25:59.825, CO2: 1902, 588, 470
20:26:00.811, CO2: 2222, 1188, 468
20:26:01.841, CO2: 1956, 672, 467
20:26:02.824, CO2: 1962, 683, 468
20:26:03.851, CO2: 2652, 2105, 468
20:26:04.833, CO2: 2351, 1466, 468
20:26:05.864, CO2: 2242, 1225, 466
20:26:06.332, CO2: 2334, 1424, 466
20:26:07.360, CO2: 4148, 5291, 469
20:26:08.346, CO2: 2274, 1300, 468
20:26:09.382, CO2: 2426, 1628, 468
20:26:10.366, CO2: 2316, 1395, 469
20:26:11.397, CO2: 2118, 960, 467
20:26:12.379, CO2: 2104, 931, 465, end
20:26:13.363, CO2: 1931, 633, 465
20:26:14.391, CO2: 1865, 536, 467
20:26:15.375, CO2: 1885, 564, 464
20:26:16.405, CO2: 1784, 432, 464
20:26:17.391, CO2: 1606, 249, 463
20:26:18.382, CO2: 1533, 194, 466
20:26:19.415, CO2: 1540, 199, 463
20:26:20.405, CO2: 1372, 148, 462
20:26:21.437, CO2: 1224, 125, 461
20:26:22.425, CO2: 1181, 118, 462
20:26:23.408, CO2: 1163, 116, 461
20:26:24.438, CO2: 1053, 99, 461
20:26:25.426, CO2: 1081, 103, 461
20:26:26.417, CO2: 1032, 96, 461
20:26:27.450, CO2: 1074, 102, 459
20:26:28.435, CO2: 970, 86, 460
20:26:29.419, CO2: 970, 86, 463
20:26:30.446, CO2: 970, 86, 459
20:26:31.438, CO2: 1694, 332, 457
20:26:32.461, CO2: 2193, 1125, 457
20:26:33.451, CO2: 1712, 351, 458
20:26:34.474, CO2: 1603, 248, 459
20:26:35.475, CO2: 1496, 169, 456
20:26:36.453, CO2: 1065, 101, 455
20:26:37.478, CO2: 1032, 96, 457
20:26:38.504, CO2: 942, 82, 458
20:26:39.480, CO2: 905, 76, 455
20:26:40.505, CO2: 838, 66, 456
