temp, CO2(ppm), TVOC, temp
19:39:52.249, 454, 8, 434
19:39:53.232, 406, 0, 435
19:39:54.264, 406, 0, 432
19:39:55.247, 406, 0, 434
19:39:56.276, 414, 2, 430
19:39:57.264, 448, 7, 431
19:39:58.290, 487, 13, 431
19:39:59.276, 485, 12, 431
19:40:00.265, 706, 46, 432
19:40:01.297, 1372, 148, 432
19:40:02.286, 690, 44, 430
19:40:03.313, 643, 37, 432
19:40:04.302, 1540, 199, 430
19:40:05.288, 913, 78, 432
19:40:06.318, 1756, 399, 430
19:40:07.303, 1313, 139, 429
19:40:07.820, 2001, 748, 431
19:40:08.808, 2504, 1789, 428
19:40:09.840, 1762, 405, 429
19:40:10.824, 1504, 174, 429
19:40:11.812, 569, 25, 428
19:40:12.847, 466, 10, 432
19:40:13.835, 420, 3, 429
19:40:14.823, 1631, 273, 428
19:40:15.856, 3102, 3065, 432, fire
19:40:16.845, 2340, 1439, 430
19:40:17.830, 1815, 469, 430
19:40:18.861, 1676, 314, 432
19:40:19.845, 1504, 174, 428
19:40:20.878, 534, 20, 430
19:40:21.860, 627, 34, 429
19:40:22.847, 1957, 674, 430
19:40:23.878, 1614, 258, 430
19:40:24.866, 2279, 1315, 430
19:40:25.899, 949, 83, 429
19:40:26.880, 2835, 2512, 430
19:40:27.912, 2786, 2404, 429
19:40:28.895, 2106, 933, 430
19:40:29.879, 967, 86, 430
19:40:30.907, 643, 37, 430
19:40:31.898, 534, 20, 431
19:40:32.933, 891, 74, 431
19:40:33.918, 1908, 596, 431
19:40:34.902, 1771, 415, 430
19:40:35.933, 2514, 1814, 433
19:40:36.921, 7417, 12298, 431
19:40:37.951, 3870, 4718, 431
19:40:38.940, 5754, 8767, 432
19:40:39.923, 6086, 9445, 432
19:40:40.957, 2048, 823, 431
19:40:41.941, 1738, 374, 432
19:40:42.926, 5534, 8270, 431
19:40:43.956, 3870, 4718, 432
19:40:44.937, 4005, 5015, 434
19:40:45.971, 4043, 5105, 432
19:40:46.952, 2591, 1977, 432
19:40:47.982, 4976, 7078, 432
19:40:48.969, 2268, 1286, 432
19:40:49.954, 1588, 235, 433
19:40:50.988, 6169, 9622, 436
19:40:51.969, 2390, 1548, 431
19:40:52.998, 1846, 509, 436
19:40:53.511, 6528, 10392, 436
19:40:54.495, 8425, 14450, 433
19:40:55.481, 4421, 5885, 433
19:40:56.513, 5916, 9086, 435
19:40:57.496, 11832, 21736, 433
19:40:58.528, 5996, 9258, 433
19:40:59.508, 2856, 2548, 434
19:41:00.538, 2603, 2007, 434
19:41:01.523, 4212, 5443, 434
19:41:02.513, 3177, 3226, 435
19:41:03.550, 2257, 1262, 434
19:41:04.535, 2747, 2325, 435
19:41:05.530, 2340, 1439, 435
19:41:06.566, 2450, 1673, 437
19:41:07.553, 2210, 1161, 438
19:41:08.534, 2544, 1871, 433
19:41:09.564, 5602, 8431, 434
19:41:10.549, 4515, 6087, 435
19:41:11.579, 2799, 2433, 437, blow
19:41:12.563, 1830, 488, 435
19:41:13.582, 1651, 291, 435
19:41:14.577, 2561, 1912, 435
19:41:15.562, 2094, 911, 437
19:41:16.599, 2326, 1410, 438
19:41:17.584, 2378, 1519, 436
19:41:18.613, 3870, 4718, 436
19:41:19.600, 4515, 6087, 435
19:41:20.580, 7944, 13451, 437
19:41:21.610, 12508, 23157, 436
19:41:22.597, 8090, 13774, 437
19:41:23.630, 6354, 10016, 436
19:41:24.620, 8936, 15533, 439
19:41:25.602, 6169, 9622, 436
19:41:26.633, 6169, 9622, 436
19:41:27.616, 3904, 4806, 436
19:41:28.650, 3830, 4646, 440
19:41:29.637, 2450, 1673, 435
19:41:30.621, 2654, 2110, 435
19:41:31.654, 3195, 3259, 435
19:41:32.641, 3019, 2885, 436
19:41:33.634, 2574, 1940, 436
19:41:34.663, 2201, 1147, 435
19:41:35.645, 2416, 1603, 436
19:41:36.674, 1858, 527, 435
19:41:37.658, 2302, 1358, 435
19:41:38.172, 1785, 434, 435
19:41:39.157, 2148, 1023, 436
19:41:40.191, 7297, 12017, 435
19:41:41.177, 6169, 9622, 436
19:41:42.208, 2799, 2433, 435
19:41:43.195, 10182, 18177, 435
19:41:44.179, 4248, 5513, 435
19:41:45.210, 3503, 3919, 437
19:41:46.196, 2476, 1728, 437
19:41:47.231, 1994, 736, 438
19:41:48.222, 1887, 567, 439
19:41:49.208, 8090, 13774, 435
19:41:50.199, 3830, 4646, 435
19:41:51.231, 2786, 2404, 435
19:41:52.218, 2210, 1161, 435
19:41:53.248, 3830, 4646, 435
19:41:54.228, 2416, 1603, 437
19:41:55.259, 2638, 2082, 435
19:41:56.245, 2340, 1439, 434
19:41:57.234, 1939, 647, 435
19:41:58.270, 1830, 488, 437
19:41:59.257, 1771, 415, 434
19:42:00.239, 2249, 1239, 434
19:42:01.269, 3447, 3798, 433
19:42:02.254, 5464, 8145, 433
19:42:03.288, 6956, 11274, 433
19:42:04.279, 6956, 11274, 433
19:42:05.267, 4337, 5708, 434
19:42:06.297, 4559, 6193, 436, water
19:42:07.281, 2404, 1573, 433
19:42:08.313, 3447, 3798, 434
19:42:09.296, 2920, 2679, 434
19:42:10.281, 2234, 1211, 434
19:42:11.315, 1939, 647, 431
19:42:12.307, 1792, 441, 431
19:42:13.292, 1777, 424, 431
19:42:14.321, 2056, 836, 431
19:42:15.305, 2106, 933, 432
19:42:16.336, 2160, 1045, 432
19:42:17.318, 2048, 823, 432
19:42:18.346, 2001, 748, 432
19:42:19.329, 1777, 424, 432
19:42:20.357, 1676, 314, 435
19:42:21.342, 1618, 262, 432
19:42:22.372, 1614, 258, 431
19:42:23.356, 1614, 258, 430
19:42:23.871, 1603, 248, 430
19:42:24.855, 1588, 235, 430
19:42:25.839, 1525, 188, 434
19:42:26.877, 1830, 488, 432
19:42:27.867, 1668, 307, 434
19:42:28.854, 1546, 204, 435
19:42:29.886, 1504, 174, 431
19:42:30.873, 1508, 177, 430
19:42:31.899, 1540, 199, 433
19:42:32.886, 1529, 191, 431
19:42:33.879, 1498, 170, 431
19:42:34.915, 1295, 136, 431
19:42:35.897, 1372, 148, 429
19:42:36.925, 1228, 126, 430
19:42:37.914, 1389, 150, 433
19:42:38.899, 1659, 297, 434
19:42:39.930, 1707, 346, 432
19:42:40.915, 1668, 307, 430
19:42:41.946, 1581, 229, 431
19:42:42.930, 1597, 242, 432
19:42:43.959, 1389, 150, 430
19:42:44.945, 1389, 150, 431
19:42:45.931, 1566, 219, 431
19:42:46.961, 1562, 216, 431
19:42:47.947, 1520, 185, 432
19:42:48.977, 1573, 225, 430
19:42:49.961, 1525, 188, 431
19:42:50.946, 1281, 134, 433
19:42:51.977, 1038, 97, 433
19:42:52.961, 1128, 110, 430
19:42:53.994, 1242, 128, 428
19:42:54.976, 1515, 181, 430
19:42:55.959, 1508, 177, 428
19:42:56.984, 1408, 153, 428
