Composante1,Composante2,Composante3
-2.703146407394803,-0.8533958553879286,-2.187904563157672
-3.6718092554610995,-0.8484048336505339,-2.541179095427078
-3.7893452217945005,-0.8494970726832991,-2.55101024099656
-3.884731734180772,-0.8724945386339674,-2.823603984698069
-4.060871040818588,-0.8782573835953498,-2.9943997671966422
-4.190958889536958,-0.8633352329562131,-2.8351725055727126
-4.305567300373793,-0.8498805447279839,-2.8700890639762195
-4.4076365379716265,-0.8379209436807342,-2.783163390958321
-4.529680435046701,-0.8279969301844873,-2.707087072119375
-4.562565636016314,-0.8601939437981821,-2.7440702760178772
-2.4036356663611884,-1.4861427502645204,-2.2827338639637835
-2.7026364417167312,-1.5104191862056633,-2.4360389904792505
-2.9228568267450177,-1.5132070541351652,-2.3477663160140394
-3.1117840233512273,-1.5508359111308703,-2.60755988144973
-3.074118866027436,-1.5942581311495927,-2.9736778836227624
-3.2790096759700154,-1.5976948201934993,-3.0505082287994187
-3.0493743961793998,-1.6797450339912825,-3.835625340284016
-3.0989331948367016,-1.6845373505741266,-3.965676235601535
-3.1789968555655737,-1.6528264074253949,-4.250987580205693
-3.4191020315411103,-1.570014775446553,-3.897778035193997
-3.669755541348426,-1.4799218843736472,-3.7349168808186404
-3.7597096731171287,-1.4373023376714136,-3.721901336717695
-3.8397855256394835,-1.3995305692102378,-3.7630527259968343
-4.118361279182743,-1.303282271515412,-3.344668781484664
-4.018947949489074,-1.2931063105204406,-3.7263521156224333
-4.212828981414593,-1.2273763280041998,-3.4223347505780595
-2.6885359754745903,-0.7799724136262379,-2.0735046167008186
-3.0614440984496682,-0.773456793978677,-2.140487934713727
-3.107939250127251,-0.7915668846809955,-2.404679865005266
-3.3775981829509067,-0.7938983114750384,-2.492169862405662
-3.5932592279893347,-0.7600383734236247,-2.3657702016085245
-3.822605670713718,-0.7617878243500684,-2.4224992937616854
-3.947092045599526,-0.7664869184563676,-2.3296137242281896
-4.120909374929246,-0.8092505812642907,-2.3954085604195194
-4.145472915662685,-0.8540648849422032,-2.4330496441767067
-4.22786358198727,-0.948297455364019,-2.541059234265796
-4.210019208918207,-1.039954726263486,-2.7177868689693256
-4.14604921819522,-1.1103605004031907,-3.034159523208028
-4.204614839597291,-1.1701859268839332,-2.990291697672174
-4.3784457876044485,-1.1968386720880355,-2.7734608639250085
-4.430265032132999,-1.224475209364636,-2.68877151482924
-4.400482882897767,-1.275507209370415,-2.9197262092735623
-4.366666838224063,-1.3367579010916517,-3.0171193554603857
-4.379686951176883,-1.3757998272291976,-3.1391365768377164
-4.390583674579796,-1.4040930506872638,-3.09059174942785
-4.41271371543877,-1.4335078086948458,-3.07240403778801
-4.406986391738974,-1.4612973351229774,-3.2009289548353252
-4.394074234670103,-1.4894867275085355,-3.202591011259775
-4.575999960017667,-1.4517808039101592,-2.8652308341215016
-4.505811714370255,-1.5009868580446553,-3.0015404326733957
-4.593904314015058,-1.4995685330543649,-2.8532176551765507
-4.3456466319336995,-1.5626806672180884,-3.4597106675139835
-4.342434058443653,-1.582470450726414,-3.4822513991862833
-4.407071071961735,-1.5876398676435695,-3.3147419581802455
-4.453936565457595,-1.582787355877701,-3.278937083924788
-4.427254602996954,-1.59713730579459,-3.329412485236763
-4.4567442590555615,-1.591726708495237,-3.2644003601079308
-4.533934780894089,-1.5769469311545636,-3.152796484200765
-4.423984020515103,-1.6138643858563044,-3.3864297827517253
-4.505285110031478,-1.6109924009427066,-3.1879018037310973
-4.452296110877827,-1.6257729305797926,-3.3087337152401712
-4.580771228510843,-1.5983662491539263,-3.0282919841064158
-4.169702908634341,-1.6941056521827305,-3.9461767449966265
-4.0355143379270455,-1.71275425487267,-4.262787099441976
-4.221752492402964,-1.6204517897561332,-3.8974279222253525
-4.224303651612829,-1.5719411172548938,-4.0052977551568505
-4.177697188336837,-1.5276245108408133,-4.159034923613723
-4.345602900966819,-1.427743795730456,-3.8442737444388566
-2.8135615990018716,-1.1774727666416467,-3.1358237938237234
-3.6560678941890616,-1.1464846314510224,-3.1062118681777724
-4.256476725970281,-1.146845565737967,-3.4623416266244558
