temp, CO2(ppm), TVOC, temp
19:53:48.541, 17573, 29206, 525
19:53:49.525, 9974, 17762, 523
19:53:50.510, 12532, 23235, 525
19:53:51.544, 13305, 24891, 525
19:53:52.524, 13305, 24891, 525
19:53:53.553, 7833, 13190, 525
19:53:54.536, 6749, 10865, 525
19:53:55.565, 6749, 10865, 526
19:53:56.549, 15669, 29206, 527
19:53:57.574, 5854, 8946, 530
19:53:58.567, 24398, 29206, 528
19:53:59.555, 9974, 17762, 531
19:54:00.585, 8954, 15570, 530
19:54:01.568, 19058, 29206, 530
19:54:02.553, 6, 0, 531
19:54:03.582, 32768, 29206, 532
19:54:04.565, 32768, 29206, 534
19:54:05.596, 32768, 29206, 535
19:54:06.582, 14144, 26678, 536
19:54:07.617, 10201, 18240, 532
19:54:08.602, 6098, 9470, 534
19:54:09.584, 6012, 9283, 536
19:54:10.614, 6847, 11090, 537
19:54:11.599, 5290, 7751, 535
19:54:12.629, 5932, 9110, 537
19:54:13.098, 6175, 9641, 538
19:54:14.132, 9144, 15986, 535
19:54:15.118, 6447, 10231, 536
19:54:16.153, 5479, 8157, 536
19:54:17.136, 5407, 7993, 537
19:54:18.126, 4764, 6629, 537
19:54:19.157, 5356, 7883, 535
19:54:20.140, 4346, 5726, 537
19:54:21.125, 4764, 6629, 536
19:54:22.155, 5854, 8946, 536
19:54:23.140, 5099, 7337, 535
19:54:24.172, 5290, 7751, 537
19:54:25.154, 5099, 7337, 536
19:54:26.185, 6541, 10432, 534
19:54:27.168, 3534, 3996, 533
19:54:28.198, 3534, 3996, 532
19:54:29.180, 3048, 2952, 533
19:54:30.210, 2842, 2524, 533
19:54:31.194, 2792, 2416, 531
19:54:32.175, 2689, 2186, 532
19:54:33.216, 2623, 2050, 531
19:54:34.196, 2643, 2094, 530
19:54:35.183, 2568, 1919, 530
19:54:36.210, 2623, 2050, 531, water
19:54:37.194, 4664, 6411, 530
19:54:38.232, 5688, 8612, 530
19:54:39.212, 8441, 14485, 527
19:54:40.238, 5688, 8612, 526
19:54:41.225, 5479, 8157, 527
19:54:42.254, 3347, 3590, 526
19:54:43.240, 4477, 6003, 526
19:54:44.223, 3874, 4742, 525
19:54:45.254, 3654, 4249, 525
19:54:46.238, 3422, 3763, 526
19:54:47.271, 2568, 1919, 524
19:54:48.253, 2226, 1201, 522
19:54:49.241, 2274, 1295, 522
19:54:50.270, 2152, 1035, 521
19:54:51.254, 3025, 2903, 521
19:54:52.285, 3914, 4814, 521
19:54:53.273, 3373, 3651, 521
19:54:53.790, 3048, 2952, 519
19:54:54.771, 2070, 865, 520
19:54:55.804, 2070, 865, 521
19:54:56.786, 2015, 773, 520
19:54:57.817, 2581, 1951, 519
19:54:58.800, 2568, 1919, 519
19:54:59.786, 2110, 943, 519
19:55:00.816, 3297, 3487, 516
19:55:01.804, 3750, 4451, 516
19:55:02.828, 2261, 1272, 518
19:55:03.819, 2294, 1347, 515
19:55:04.848, 2172, 1080, 514
19:55:05.834, 2261, 1272, 513
19:55:06.821, 1998, 742, 514
19:55:07.852, 2421, 1618, 513
19:55:08.836, 3633, 4189, 515
19:55:09.821, 2535, 1860, 515
19:55:10.846, 3633, 4189, 512
19:55:11.875, 6366, 10042, 511
19:55:12.858, 2676, 2159, 514
19:55:13.843, 7311, 12062, 510
19:55:14.873, 9529, 16823, 510
19:55:15.858, 4571, 6211, 513
19:55:16.894, 2609, 2018, 511
19:55:17.873, 2770, 2370, 512
19:55:18.856, 2407, 1588, 509
19:55:19.884, 1825, 481, 508
19:55:20.867, 2676, 2159, 508
19:55:21.892, 2253, 1252, 507
19:55:22.876, 4571, 6211, 506
19:55:23.907, 4140, 5283, 505
19:55:24.891, 6175, 9641, 506
19:55:25.922, 2717, 2262, 504
19:55:26.904, 2120, 963, 503
19:55:27.939, 1641, 283, 502
19:55:28.923, 1648, 288, 501
19:55:29.948, 1655, 294, 499
19:55:30.933, 1655, 294, 502
19:55:31.915, 1678, 318, 500
19:55:32.947, 1648, 288, 499
19:55:33.931, 1760, 403, 497
19:55:34.961, 1918, 612, 498
19:55:35.955, 3347, 3590, 499
19:55:36.459, 2332, 1423, 500
