temp, CO2(ppm), TVOC, temp
19:51:04.878, 539, 21, 419
19:51:05.868, 518, 17, 416
19:51:06.901, 502, 15, 416
19:51:07.881, 574, 26, 417
19:51:08.866, 580, 27, 421
19:51:09.892, 591, 29, 416
19:51:10.921, 591, 29, 416
19:51:11.392, 561, 24, 416
19:51:12.420, 502, 15, 415
19:51:13.405, 481, 12, 418
19:51:14.391, 497, 14, 416
19:51:15.426, 492, 14, 414
19:51:16.413, 518, 17, 418
19:51:17.440, 561, 24, 415
19:51:18.425, 633, 35, 416
19:51:19.455, 688, 43, 417
19:51:20.435, 732, 50, 416
19:51:21.421, 653, 38, 416
19:51:22.450, 542, 21, 420
19:51:23.435, 539, 21, 418
19:51:24.470, 515, 17, 417
19:51:25.452, 502, 15, 420
19:51:26.437, 515, 17, 416
19:51:27.469, 567, 25, 418
19:51:28.456, 626, 34, 416
19:51:29.490, 618, 33, 416
19:51:30.479, 580, 27, 416
19:51:31.461, 561, 24, 416
19:51:32.495, 594, 29, 417
19:51:33.482, 561, 24, 418
19:51:34.509, 515, 17, 415
19:51:35.490, 542, 21, 416
19:51:36.519, 492, 14, 416
19:51:37.505, 548, 22, 414
19:51:38.487, 553, 23, 416
19:51:39.523, 518, 17, 416
19:51:40.510, 502, 15, 417
19:51:41.493, 502, 15, 414
19:51:42.525, 497, 14, 418
19:51:43.510, 488, 13, 418
19:51:44.540, 524, 18, 415
19:51:45.523, 2238, 1220, 415
19:51:46.552, 1862, 532, 414
19:51:47.535, 1385, 150, 415
19:51:48.522, 712, 47, 420
19:51:49.554, 1107, 107, 419
19:51:50.539, 1125, 110, 418
19:51:51.576, 1252, 129, 416
19:51:52.561, 1532, 193, 415
19:51:53.543, 851, 68, 418
19:51:54.573, 900, 76, 416
19:51:55.558, 2395, 1561, 415
19:51:56.592, 2792, 2416, 416
19:51:57.578, 6265, 9835, 417
19:51:58.568, 7071, 11557, 416
19:51:59.599, 3510, 3940, 417
19:52:00.586, 6175, 9641, 420
19:52:01.098, 2828, 2489, 416
19:52:02.080, 1849, 514, 416
19:52:03.112, 1780, 428, 416
19:52:04.096, 4764, 6629, 418
19:52:05.127, 3874, 4742, 420
19:52:06.111, 4524, 6106, 416
19:52:07.094, 2455, 1683, 420
19:52:08.126, 2261, 1272, 418
19:52:09.109, 1324, 140, 417
19:52:10.138, 920, 79, 417
19:52:11.124, 830, 65, 421
19:52:12.153, 800, 60, 418
19:52:13.135, 1548, 206, 416
19:52:14.165, 5765, 8791, 417
19:52:15.148, 2659, 2121, 418
19:52:16.133, 3269, 3433, 417
19:52:17.160, 3914, 4814, 417
19:52:18.144, 2274, 1295, 418
19:52:19.182, 1898, 582, 418
19:52:20.168, 1874, 547, 418
19:52:21.151, 3815, 4590, 422
19:52:22.186, 2407, 1588, 419
19:52:23.168, 2162, 1057, 419
19:52:24.200, 1655, 294, 419
19:52:25.186, 2152, 1035, 422
19:52:26.175, 1906, 594, 420
19:52:27.208, 1512, 179, 419
19:52:28.190, 970, 86, 420
19:52:29.220, 1935, 641, 418
19:52:30.206, 1523, 187, 421
19:52:31.192, 1699, 337, 421
19:52:32.225, 1661, 300, 418
19:52:33.209, 1616, 261, 421
19:52:34.237, 1856, 524, 422
19:52:35.219, 1760, 403, 420
19:52:36.249, 1839, 501, 423
19:52:37.231, 1528, 191, 421
19:52:38.221, 1266, 131, 422
19:52:39.248, 1125, 110, 425
19:52:40.232, 838, 66, 425, fire
19:52:41.263, 6847, 11090, 423
19:52:42.240, 4524, 6106, 426
19:52:43.271, 5165, 7465, 426
19:52:44.255, 4571, 6211, 427
19:52:45.245, 3785, 4527, 427
19:52:46.269, 5290, 7751, 426
19:52:47.256, 3914, 4814, 427
19:52:48.290, 2382, 1532, 429
19:52:49.279, 1739, 379, 429
19:52:49.796, 12532, 23235, 434
19:52:50.783, 32768, 29206, 435
19:52:51.769, 32768, 29206, 439
19:52:52.800, 6, 0, 447
19:52:53.782, 32768, 29206, 449
19:52:54.811, 16883, 29206, 449
19:52:55.793, 31343, 29206, 453
19:52:56.826, 19058, 29206, 454
19:52:57.812, 9144, 15986, 451
19:52:58.840, 9974, 17762, 451
19:52:59.823, 7311, 12062, 455
19:53:00.805, 31343, 29206, 455
19:53:01.837, 7071, 11557, 456
19:53:02.824, 6098, 9470, 458
19:53:03.853, 6012, 9283, 460
19:53:04.835, 4933, 6970, 462
19:53:05.863, 12532, 23235, 464
19:53:06.853, 6366, 10042, 469
19:53:07.836, 4764, 6629, 470
19:53:08.868, 4220, 5461, 471
19:53:09.850, 3815, 4590, 471
19:53:10.882, 3595, 4121, 472
19:53:11.864, 3564, 4062, 475
19:53:12.901, 3347, 3590, 473
19:53:13.881, 3201, 3278, 474
19:53:14.906, 3108, 3083, 475
19:53:15.891, 2965, 2774, 477
19:53:16.872, 2881, 2613, 480
19:53:17.903, 12532, 23235, 483
19:53:18.885, 4815, 6740, 483
19:53:19.916, 3347, 3590, 489
19:53:20.900, 3048, 2952, 491
19:53:21.934, 2944, 2727, 495
19:53:22.917, 3065, 2991, 496
19:53:23.898, 4108, 5206, 500
19:53:24.929, 3510, 3940, 503
19:53:25.913, 6366, 10042, 505
19:53:26.945, 7311, 12062, 508
19:53:27.935, 7438, 12329, 508
19:53:28.965, 6012, 9283, 508
19:53:29.953, 12895, 24025, 510
19:53:30.937, 12198, 22506, 513
19:53:31.969, 24398, 29206, 515
19:53:32.951, 19948, 29206, 518
19:53:33.462, 20884, 29206, 518
19:53:34.446, 15669, 29206, 515, blow
19:53:35.478, 8954, 15570, 514
19:53:36.466, 8280, 14130, 516
19:53:37.496, 9144, 15986, 515
19:53:38.481, 16883, 29206, 516
19:53:39.461, 32768, 29206, 519
19:53:40.491, 32768, 29206, 518
19:53:41.473, 19058, 29206, 517
19:53:42.503, 16216, 29206, 518
19:53:43.489, 13305, 24891, 520
19:53:44.516, 12198, 22506, 520
19:53:45.497, 13697, 25744, 519
19:53:46.528, 15148, 28810, 521
19:53:47.510, 13305, 24891, 522
