temp, CO2(ppm), TVOC, temp
19:35:53.658, 3303, 3494, 439
19:35:54.686, 5366, 7883, 440
19:35:55.152, 7837, 13222, 439
19:35:56.185, 6187, 9654, 441
19:35:57.168, 8971, 15589, 440
19:35:58.196, 7587, 12622, 440
19:35:59.176, 4396, 5839, 443
19:36:00.231, 3428, 3770, 440
19:36:01.183, 3351, 3603, 442
19:36:02.212, 3303, 3494, 439
19:36:03.192, 2990, 2823, 439
19:36:04.199, 2845, 2535, 439
19:36:05.200, 2584, 1961, 439
19:36:06.228, 4673, 6421, 439
19:36:07.209, 2569, 1929, 438
19:36:08.237, 2469, 1713, 439
19:36:09.227, 2386, 1537, 442
19:36:10.209, 2276, 1304, 440
19:36:11.238, 2176, 1084, 442
19:36:12.219, 2349, 1457, 439
